"ID";"esq_q1_sem0";"esq_q2_sem0";"esq_q3_sem0";"esq_q4_sem0";"esq_q5_sem0";"esq_q6_sem0";"esq_q7_sem0";"esq_q8_sem0";"esq_q9_sem0";"esq_q10_sem0";"esq_q11_sem0";"esq_q12_sem0";"esq_q13_sem0";"esq_q14_sem0";"esq_q15_sem0";"esq_q16_sem0";"esq_q17_sem0";"esq_q18_sem0";"esq_q19_sem0";"esq_q20_sem0";"esq_q21_sem0";"esq_q22_sem0";"esq_q23_sem0";"esq_q24_sem0";"esq_q25_sem0";"F1";"SE_F1";"escore.cat";"F1novo";"escore.cat.novo"
40;1;2;1;0;3;1;1;0;3;2;0;2;1;1;1;2;2;2;1;2;2;2;0;2;2;"0,22975933375093782";"0,33015672979024074";"boa";"261,4879666875469";"boa"
41;0;0;0;0;0;0;2;0;1;2;1;2;1;0;1;2;2;1;3;2;1;1;2;2;3;"-0,14950191313167774";"0,31698999892342905";"boa";"242,52490434341613";"boa"
42;0;0;1;0;2;0;0;0;1;1;2;2;0;0;1;0;1;1;2;1;1;1;1;1;1;"-1,1622591850954853";"0,29582320918851285";"ruim";"191,88704074522573";"ruim"
43;1;1;1;1;1;1;2;1;2;1;2;2;2;1;2;1;1;0;0;0;1;0;2;2;1;"-0,4638671221439707";"0,33642206038820727";"boa";"226,80664389280147";"boa"
44;0;0;1;1;0;0;2;0;2;1;3;2;1;1;0;0;1;1;2;2;2;0;1;1;1;"-0,8528459735506895";"0,33734548517898605";"boa";"207,35770132246552";"boa"
45;1;1;0;0;1;0;1;1;0;1;2;1;2;0;2;2;2;1;2;1;1;0;1;2;1;"-0,6688502338091953";"0,31303988271561517";"boa";"216,55748830954025";"boa"
46;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;"-2,3728156036874974";"0,3146577227780931";"muito ruim";"131,35921981562512";"muito ruim"
47;0;0;1;0;2;1;2;1;3;1;3;2;2;1;1;1;2;1;2;2;2;1;1;3;3;"0,49393405700612475";"0,3110002966429599";"boa";"274,6967028503062";"boa"
48;0;0;0;0;0;0;1;0;1;0;2;0;1;0;1;1;0;2;0;0;0;2;0;1;0;"-2,104380387185943";"0,35086827294354234";"muito ruim";"144,78098064070286";"muito ruim"
49;1;2;1;1;2;0;2;1;3;1;3;2;2;1;1;2;1;1;0;0;1;2;2;0;0;"-0,1378858122259082";"0,36291719939420297";"boa";"243,10570938870458";"boa"
50;0;0;1;0;0;0;1;0;2;3;1;2;1;1;1;1;0;0;0;1;2;1;1;0;1;"-1,230443270297393";"0,33597878304929885";"ruim";"188,47783648513035";"ruim"
51;1;2;1;0;0;1;1;0;3;2;3;3;2;1;0;1;2;1;2;0;0;1;1;2;2;"-0,2208729902731141";"0,32164016874423995";"boa";"238,9563504863443";"boa"
52;1;2;1;1;1;1;1;0;2;2;1;2;1;0;2;1;2;1;2;0;2;1;2;3;1;"-0,010405474204390126";"0,3291556141697958";"boa";"249,4797262897805";"boa"
53;0;0;0;0;0;1;1;0;0;0;1;1;0;0;2;1;2;0;2;0;0;0;0;2;1;"-1,7883552906959264";"0,3162822682222338";"ruim";"160,58223546520367";"ruim"
54;0;0;1;1;0;1;1;0;1;1;1;1;1;1;1;1;2;1;1;1;1;0;1;2;2;"-0,7044953898510311";"0,30304663582252345";"boa";"214,77523050744844";"boa"
55;0;0;0;0;0;1;2;0;3;1;2;1;0;0;0;1;2;1;2;0;2;1;0;2;2;"-0,9858720171798249";"0,31183895636244763";"boa";"200,70639914100877";"boa"
56;1;2;1;0;1;1;2;0;1;2;1;0;2;1;1;1;3;0;3;1;1;1;2;2;1;"-0,07561540163881485";"0,3329992567461709";"boa";"246,21922991805926";"boa"
57;0;0;1;0;1;0;0;1;2;0;1;0;1;1;0;1;3;0;3;1;1;1;2;3;3;"-0,24102639443414298";"0,3204703192846356";"boa";"237,94868027829284";"boa"
58;1;2;1;0;3;1;1;1;1;1;2;2;0;0;1;1;3;1;3;1;1;2;1;3;2;"0,3240683047187025";"0,293183404069563";"boa";"266,20341523593515";"boa"
59;1;2;1;1;2;1;1;0;2;3;2;3;2;1;1;1;1;0;0;1;1;2;1;1;1;"-0,1767018478898586";"0,346248922880393";"boa";"241,16490760550707";"boa"
60;1;2;1;1;2;0;1;1;2;2;0;1;2;0;2;1;2;2;2;0;2;2;1;3;2;"0,2847130425122847";"0,32451762673559786";"boa";"264,23565212561425";"boa"
61;1;2;1;0;2;1;1;0;3;1;0;1;1;0;1;1;1;0;0;1;2;1;2;1;0;"-0,8789922035929777";"0,338414073480233";"boa";"206,0503898203511";"boa"
62;1;2;1;1;3;1;2;1;3;2;2;2;2;1;1;1;2;2;0;1;1;1;2;3;1;"0,5186123610750643";"0,33266483774004757";"muito boa";"275,9306180537532";"muito boa"
63;1;2;1;0;1;0;2;1;1;2;3;2;2;1;0;2;1;2;2;2;1;1;1;2;1;"-0,06770100008936239";"0,334509763381513";"boa";"246,61494999553187";"boa"
64;0;0;1;0;1;1;0;0;1;0;1;1;0;0;2;0;1;0;1;0;0;0;0;0;0;"-2,386089926747992";"0,33030744490407504";"muito ruim";"130,6955036626004";"muito ruim"
65;0;0;1;0;0;0;2;1;3;1;3;1;1;1;1;2;2;1;2;0;2;1;2;1;1;"-0,5770999617096915";"0,3309305777282858";"boa";"221,14500191451543";"boa"
66;0;0;0;0;1;0;0;1;1;0;1;1;2;0;0;0;1;0;0;0;1;0;2;0;1;"-2,077992869542773";"0,32448015090553706";"muito ruim";"146,10035652286135";"muito ruim"
67;1;1;0;0;2;0;0;0;2;2;2;1;0;0;1;1;2;0;2;1;0;0;0;2;2;"-0,9476615737224551";"0,3113521144525858";"boa";"202,61692131387724";"boa"
68;1;2;1;0;3;1;1;1;2;3;3;2;2;1;1;1;2;0;2;2;0;0;1;1;1;"-0,04625473854826327";"0,36626487678403263";"boa";"247,68726307258683";"boa"
69;1;2;1;0;1;1;2;1;2;2;2;2;2;1;0;2;2;1;3;2;2;1;1;2;1;"0,29560962000472973";"0,33049150527522375";"boa";"264,7804810002365";"boa"
70;1;2;1;1;2;1;1;1;2;2;3;2;2;0;2;2;2;2;3;2;2;2;1;2;3;"1,2086698296249312";"0,3366169863816467";"muito boa";"310,43349148124656";"muito boa"
71;0;0;1;1;3;1;1;0;2;2;3;3;2;0;2;1;2;2;2;2;2;1;2;1;2;"0,434994559690137";"0,33241643788453357";"boa";"271,7497279845069";"boa"
72;0;0;1;1;2;1;0;0;2;3;1;1;1;1;2;0;1;1;0;1;0;1;2;0;0;"-1,1625004334198628";"0,347749230295652";"ruim";"191,87497832900686";"ruim"
73;0;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;"-2,880772728883762";"0,37105693713168225";"muito ruim";"105,96136355581189";"muito ruim"
74;1;1;1;1;2;1;2;1;2;2;2;2;2;1;2;1;3;2;3;1;2;1;2;3;3;"1,1588232921146542";"0,3313572548210868";"muito boa";"307,9411646057327";"muito boa"
75;1;1;1;1;3;1;2;0;2;1;2;3;1;1;2;2;3;2;3;1;0;2;1;3;3;"0,9783707134153627";"0,32683488741398686";"muito boa";"298,91853567076816";"muito boa"
76;1;2;1;1;2;1;2;1;2;2;1;1;2;1;1;1;2;1;1;0;2;1;2;2;2;"0,04258969413945792";"0,3205781939958953";"boa";"252,1294847069729";"boa"
77;0;0;1;1;3;1;0;0;1;2;1;3;1;0;0;1;3;1;3;2;0;1;1;3;3;"0,2647564124832919";"0,3217841889124198";"boa";"263,2378206241646";"boa"
78;1;2;1;1;3;1;2;1;3;3;3;3;3;1;1;2;3;1;3;2;2;2;2;2;1;"1,8123035761842032";"0,4184088211889391";"muito boa";"340,6151788092102";"muito boa"
79;1;1;1;1;2;1;0;1;1;1;0;0;0;0;2;2;1;2;1;0;1;1;2;2;1;"-0,7960138610024579";"0,32075767172602626";"boa";"210,1993069498771";"boa"
80;1;1;0;0;3;1;2;1;0;1;2;3;1;1;1;1;1;1;1;2;0;2;2;2;0;"-0,2933541431543141";"0,33490201851834794";"boa";"235,3322928422843";"boa"
81;0;0;1;0;1;1;1;1;1;1;1;0;2;0;0;2;0;1;0;1;0;0;2;0;0;"-1,7071237335549412";"0,3562399260761678";"ruim";"164,64381332225292";"ruim"
82;0;0;1;0;1;0;1;0;3;1;2;2;1;1;2;1;1;2;2;0;1;1;2;1;0;"-0,8942307513169196";"0,32517168670794544";"boa";"205,288462434154";"boa"
83;1;2;1;1;2;0;2;1;2;1;1;1;2;1;1;1;3;2;3;1;1;2;0;2;2;"0,2923993758399911";"0,3075399795685566";"boa";"264,61996879199955";"boa"
84;1;2;1;1;2;1;1;0;1;1;1;2;2;1;1;0;2;1;3;2;2;1;2;1;0;"0,04210706547936349";"0,3346965210951193";"boa";"252,10535327396818";"boa"
85;0;0;1;1;2;0;2;1;1;2;3;3;3;1;1;1;2;1;2;1;1;0;1;3;2;"0,1659321506902398";"0,3173610875792636";"boa";"258,29660753451196";"boa"
86;0;0;1;0;0;1;2;1;1;1;1;1;2;1;0;2;1;1;0;0;1;2;1;2;2;"-0,7567410017860702";"0,31891412160542304";"boa";"212,16294991069648";"boa"
87;0;0;1;1;3;1;2;1;2;1;1;3;1;1;1;1;2;2;2;1;0;1;1;1;1;"-0,37418683048332607";"0,3168829422513106";"boa";"231,2906584758337";"boa"
88;0;0;0;0;1;0;0;0;1;0;0;2;1;1;1;0;1;2;1;0;0;1;2;0;0;"-1,9755523665860262";"0,33176316072166384";"ruim";"151,2223816706987";"ruim"
89;0;0;1;0;2;0;1;1;3;2;2;2;3;0;0;1;2;1;2;0;0;1;1;3;2;"-0,44170074254069763";"0,3158014476243071";"boa";"227,91496287296513";"boa"
90;0;0;1;0;0;0;0;0;1;1;1;1;1;0;1;1;0;0;1;0;0;1;0;0;0;"-2,1153852169628573";"0,32997145720256194";"muito ruim";"144,23073915185714";"muito ruim"
91;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;"-2,2199302789473534";"0,32074835439404054";"muito ruim";"139,00348605263233";"muito ruim"
92;1;2;1;1;3;1;1;1;2;1;2;1;2;0;1;1;0;0;0;1;1;1;2;0;0;"-0,46731414460458126";"0,34995281636770675";"boa";"226,63429276977092";"boa"
93;0;0;1;0;2;1;2;1;3;1;2;2;2;1;2;1;0;1;2;1;2;1;2;0;0;"-0,39245291682063826";"0,3453901023175442";"boa";"230,37735415896807";"boa"
94;1;2;1;1;3;1;1;1;2;1;3;2;3;1;2;1;2;1;2;2;1;2;1;2;1;"0,6013344030346814";"0,3283526340273547";"muito boa";"280,06672015173405";"muito boa"
95;1;2;1;0;3;1;2;1;2;2;2;3;2;1;2;2;3;1;3;2;1;2;0;2;1;"0,8787205753626196";"0,3454305345720549";"muito boa";"293,936028768131";"muito boa"
96;1;2;1;1;3;1;1;0;1;1;1;1;1;1;1;2;1;2;1;1;1;1;0;1;0;"-0,6352466357816825";"0,31970735424439756";"boa";"218,23766821091587";"boa"
97;0;0;1;0;1;1;0;0;2;1;2;0;1;1;0;1;0;0;1;0;0;0;1;1;0;"-1,891040983531536";"0,3266294999226233";"ruim";"155,44795082342318";"ruim"
98;0;0;1;1;1;1;1;0;0;3;2;1;1;0;1;2;3;1;2;2;1;1;1;3;3;"0,16214234810705924";"0,3173095714615212";"boa";"258,10711740535294";"boa"
99;0;0;1;0;1;1;1;0;2;1;1;1;2;0;0;2;1;1;0;0;1;0;0;1;0;"-1,7431637106698663";"0,32219610586653474";"ruim";"162,8418144665067";"ruim"
100;1;2;1;1;3;1;1;1;3;3;3;3;2;1;2;2;3;2;3;2;2;2;1;3;3;"2,390128921741972";"0,44984217818826483";"muito boa";"369,5064460870986";"muito boa"
101;1;1;0;0;2;0;1;0;1;1;1;2;1;1;1;0;1;2;2;2;1;0;1;1;0;"-0,9934769772766345";"0,3203735400871691";"boa";"200,32615113616828";"boa"
102;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;1;2;1;2;0;0;0;1;1;0;"-2,074452130082285";"0,3311869339877294";"muito ruim";"146,27739349588575";"muito ruim"
103;0;0;0;0;1;0;1;1;1;0;1;2;1;0;2;1;3;1;3;1;2;2;1;3;3;"0,042304113399995895";"0,30689823455270876";"boa";"252,1152056699998";"boa"
104;0;0;1;0;3;0;0;0;1;1;3;3;1;0;0;0;1;1;0;0;0;1;0;1;1;"-1,5385634377875534";"0,3174420546868565";"ruim";"173,07182811062233";"ruim"
105;1;1;1;0;2;0;2;1;1;3;1;1;1;1;1;1;1;1;1;0;1;2;0;0;1;"-1,0067691160560417";"0,321089448213349";"ruim";"199,6615441971979";"ruim"
106;1;2;1;1;3;1;0;1;0;1;1;2;2;1;1;1;2;1;1;0;0;1;1;2;1;"-0,5375424954968478";"0,31380812988662043";"boa";"223,1228752251576";"boa"
107;0;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;"-2,5499345128878224";"0,3473574583213466";"muito ruim";"122,50327435560888";"muito ruim"
108;0;0;1;0;1;0;1;0;0;0;1;1;0;0;1;0;1;0;1;1;1;0;0;2;2;"-1,642948495687596";"0,3095370521101413";"ruim";"167,85257521562022";"ruim"
109;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;"-3,191522558593792";"0,39985812158353573";"muito ruim";"90,42387207031041";"muito ruim"
110;1;2;1;1;1;1;0;1;1;0;1;2;2;0;2;2;3;2;3;2;2;1;0;3;3;"0,6914928442393005";"0,3378074198345977";"muito boa";"284,574642211965";"muito boa"
111;0;0;0;0;1;0;1;0;1;0;0;2;1;1;1;0;1;0;2;1;0;0;1;1;1;"-1,6574375145566367";"0,30105799468062877";"ruim";"167,12812427216818";"ruim"
112;1;2;1;1;2;1;0;1;2;1;2;2;2;1;1;1;1;2;1;1;1;2;1;1;0;"-0,21444238098057025";"0,32798551093360173";"boa";"239,27788095097148";"boa"
113;1;1;1;1;3;1;2;1;3;3;3;3;2;1;2;2;2;2;2;2;2;1;2;2;2;"1,1426801651820935";"0,35580779559248793";"muito boa";"307,1340082591047";"muito boa"
114;1;2;1;1;2;0;2;0;1;1;1;0;2;0;0;1;2;0;2;2;1;2;0;2;1;"-0,45404533777199785";"0,3298645946816003";"boa";"227,2977331114001";"boa"
115;1;1;1;1;1;0;2;1;2;1;1;2;3;1;1;2;3;2;3;1;1;2;2;3;2;"0,7116291411205755";"0,3228200014886997";"muito boa";"285,5814570560288";"muito boa"
116;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;2;1;3;0;0;0;1;2;1;"-1,7213871613908769";"0,32187575449734207";"ruim";"163,93064193045615";"ruim"
117;0;0;1;0;0;1;1;1;2;1;2;1;3;0;1;1;2;1;2;1;0;2;2;1;1;"-0,5893810785095578";"0,3268633674027985";"boa";"220,53094607452212";"boa"
118;1;1;0;0;0;0;2;0;1;1;2;2;1;1;1;1;2;1;2;0;0;0;1;2;2;"-0,7604715530031011";"0,3028798694784137";"boa";"211,97642234984494";"boa"
119;0;0;1;0;2;1;2;0;0;2;2;2;2;1;2;1;2;0;3;1;2;2;1;1;2;"-0,03654346803632568";"0,31783221858736516";"boa";"248,17282659818372";"boa"
120;0;0;1;0;1;0;1;0;1;0;1;1;0;0;0;1;0;1;1;1;0;0;0;1;0;"-2,166851600720375";"0,3154135698532577";"muito ruim";"141,65741996398123";"muito ruim"
121;1;1;1;0;2;0;1;0;1;0;0;0;1;1;1;1;1;2;0;1;1;1;1;1;0;"-1,2841119365271088";"0,3205154232707932";"ruim";"185,79440317364458";"ruim"
122;0;0;1;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;1;1;2;2;2;"-1,3536412994892832";"0,31824796131093686";"ruim";"182,31793502553583";"ruim"
123;0;0;0;0;0;0;1;0;2;1;1;1;1;0;0;2;1;2;1;1;0;0;1;2;2;"-1,2534752984747808";"0,30958902681517575";"ruim";"187,32623507626096";"ruim"
124;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;"-3,1379551522301132";"0,38570434403154047";"muito ruim";"93,10224238849435";"muito ruim"
125;1;2;1;0;2;1;1;1;1;3;2;3;3;1;1;1;2;2;2;0;1;2;0;1;1;"-0,12244840002210625";"0,3442664598973394";"boa";"243,87757999889467";"boa"
126;1;2;1;1;1;1;2;1;3;3;3;2;3;1;2;1;0;2;0;2;2;2;2;0;0;"0,8148401172475365";"0,4236379455717335";"muito boa";"290,7420058623768";"muito boa"
127;1;2;1;1;3;1;2;0;2;3;3;2;2;1;1;2;3;2;3;2;2;2;1;3;3;"1,8427664256187135";"0,3956161066882345";"muito boa";"342,13832128093566";"muito boa"
128;1;2;1;0;3;1;1;1;2;3;2;1;1;0;2;2;2;1;3;2;2;2;1;3;2;"0,8121419621541078";"0,33020015288597476";"muito boa";"290,6070981077054";"muito boa"
129;1;1;1;0;2;1;1;1;1;1;2;1;1;0;1;1;3;1;3;1;1;1;2;3;3;"0,3400787443254285";"0,29108888509735753";"boa";"267,0039372162714";"boa"
